City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
455,Puga,MX,68.77,clear sky,21.5833,-104.8167,Del sol
456,Zhuhai,CN,66.06,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
458,Mildura,AU,74.97,clear sky,-34.2,142.15,Mercure Hotel Mildura
462,Pacific Grove,US,64.63,clear sky,36.6177,-121.9166,Lovers Point Inn
467,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
469,Makaha,US,72.05,scattered clouds,21.4694,-158.2175,Hawaiian Princess Resort
472,Flinders,AU,67.8,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
474,Kambove,CD,67.21,light rain,-10.8764,26.5969,Couvant des soeurs catholiques
476,San Lawrenz,MT,56.86,overcast clouds,36.0553,14.204,San Andrea Hotel
478,Faanui,PF,79.61,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
480,Vila Velha,BR,78.94,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
486,Odweyne,SO,69.66,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
490,San Policarpo,PH,78.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
491,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
492,Aswan,EG,70.56,clear sky,24.0934,32.907,Nuba Nile
494,Koutsouras,GR,58.1,scattered clouds,35.0339,25.9469,The White Houses
495,Naze,JP,62.13,overcast clouds,28.3667,129.4833,Shishime Hotel
496,Wanning,CN,65.59,overcast clouds,18.8003,110.3967,Paradise Hotel
497,Kuala Terengganu,MY,77.13,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
498,Bowen,AU,78.17,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
499,Maralal,KE,68.47,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
501,Vieira De Leiria,PT,64.42,overcast clouds,39.8695,-8.9324,Hotel Cristal Vieira Praia & SPA
503,Angoche,MZ,79.05,light rain,-16.2325,39.9086,Guest House HESADA
505,Rio Blanco,MX,69.62,overcast clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
511,Bhabua,IN,55.06,clear sky,25.05,83.6167,Kohinoor Hotel
519,Sabha,LY,63.27,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
523,Hattiesburg,US,61.65,clear sky,31.3271,-89.2903,Deluxe Inn
524,Yazman,PK,67.93,clear sky,29.1212,71.7446,Jamal sons showroom
525,Aljezur,PT,61.56,broken clouds,37.3191,-8.8033,Amazigh Hostel
528,Knysna,ZA,79.11,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
531,Sydney Mines,CA,52.0,scattered clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
534,Tainan,TW,71.15,few clouds,22.9908,120.2133,Tie Dao Hotel
536,Semaria,IN,60.03,clear sky,24.3073,79.9718,mishra Tea Pan
538,Tanda,IN,54.68,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
